DT_EXIBICAO,TITULO_ORIGINAL,TITULO_BRASILEIRO,PAIS,UF_COMPLEXO,MUNICIPIO_COMPLEXO,RAZAO_SOCIAL_DISTRIBUIDORA,PUBLICO
2023-05-21,GUARDIANS OF THE GALAXY VOL. 3,GUARDIÕES DA GALÁXIA VOL. 3, Estados Unidos,SE,ARACAJU,THE WALT DISNEY COMPANY (BRASIL) LTDA.,302
2023-05-08,THE SUPER MARIO BROS. MOVIE,SUPER MARIO BROS. - O FILME, Estados Unidos,SP,BAURU,WARNER BROS. (SOUTH) INC.,42
2023-02-11,PEARL,PEARL, Estados Unidos,SP,SÃO JOSÉ DO RIO PRETO,CINECOLOR DO BRASIL LTDA,69
2023-04-14,DUNGEONS & DRAGONS: HONOR AMONG THIEVES,DUNGEONS & DRAGONS: HONRA ENTRE REBELDES," Canadá, Estados Unidos",SP,PIRASSUNUNGA,PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA,35
2023-01-05,AVATAR: THE WAY OF WATER,AVATAR: O CAMINHO DA ÁGUA, Estados Unidos,CE,FORTALEZA,THE WALT DISNEY COMPANY (BRASIL) LTDA.,144
2023-04-15,THE SUPER MARIO BROS. MOVIE,SUPER MARIO BROS. - O FILME, Estados Unidos,RO,JI-PARANÁ,WARNER BROS. (SOUTH) INC.,138
2023-05-19,EVIL DEAD RISE,A MORTE DO DEMÔNIO: A ASCENSÃO, Estados Unidos,MG,CONTAGEM,WARNER BROS. (SOUTH) INC.,3
2023-05-01,KNIGHTS OF THE ZODIAC,OS CAVALEIROS DO ZODÍACO - SAINT SEIYA - O COMEÇO, Japão,SP,SÃO PAULO,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,33
2023-05-09,GUARDIANS OF THE GALAXY VOL. 3,GUARDIÕES DA GALÁXIA VOL. 3, Estados Unidos,SP,SANTOS,THE WALT DISNEY COMPANY (BRASIL) LTDA.,111
2023-05-04,LEFT BEHIND: RISE OF THE ANTICHRIST,DEIXADOS PARA TRÁS: O INÍCIO DO FIM, Canadá,MG,BELO HORIZONTE,WMIX DISTRIBUIDORA LTDA.,8
2023-06-17,THE FLASH,THE FLASH, Estados Unidos,RN,NATAL,WARNER BROS. (SOUTH) INC.,133
2023-06-30,ELEMENTAL,ELEMENTOS, Estados Unidos,PA,BELÉM,THE WALT DISNEY COMPANY (BRASIL) LTDA.,116
2023-02-19,A MAN CALLED OTTO,O PIOR VIZINHO DO MUNDO, Estados Unidos,SP,JUNDIAÍ,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,67
2023-01-01,PUSS IN BOOTS: THE LAST WISH,GATO DE BOTAS 2: O ÚLTIMO PEDIDO, Estados Unidos,PA,BELÉM,WARNER BROS. (SOUTH) INC.,81
2023-01-18,PUSS IN BOOTS: THE LAST WISH,GATO DE BOTAS 2: O ÚLTIMO PEDIDO, Estados Unidos,MG,BELO HORIZONTE,WARNER BROS. (SOUTH) INC.,294
2023-02-10,AVATAR: THE WAY OF WATER,AVATAR: O CAMINHO DA ÁGUA, Estados Unidos,MT,CUIABÁ,THE WALT DISNEY COMPANY (BRASIL) LTDA.,40
2023-01-17,AVATAR: THE WAY OF WATER,AVATAR: O CAMINHO DA ÁGUA, Estados Unidos,PR,MARINGÁ,THE WALT DISNEY COMPANY (BRASIL) LTDA.,43
2023-03-30,COCAINE BEAR,O URSO DO PÓ BRANCO, Estados Unidos,PR,CURITIBA,WARNER BROS. (SOUTH) INC.,19
2023-01-14,PUSS IN BOOTS: THE LAST WISH,GATO DE BOTAS 2: O ÚLTIMO PEDIDO, Estados Unidos,BA,VITÓRIA DA CONQUISTA,WARNER BROS. (SOUTH) INC.,37
2023-02-02,AVATAR: THE WAY OF WATER,AVATAR: O CAMINHO DA ÁGUA, Estados Unidos,MG,IPATINGA,THE WALT DISNEY COMPANY (BRASIL) LTDA.,49
2023-02-11,TITANIC,TITANIC 3D, Estados Unidos,SP,COSMÓPOLIS,THE WALT DISNEY COMPANY (BRASIL) LTDA.,103
2023-02-15,ANT-MAN AND THE WASP: QUANTUMANIA,HOMEM-FORMIGA E A VESPA: QUANTUMANIA, Estados Unidos,CE,FORTALEZA,THE WALT DISNEY COMPANY (BRASIL) LTDA.,66
2023-01-06,AVATAR: THE WAY OF WATER,AVATAR: O CAMINHO DA ÁGUA, Estados Unidos,SP,CAMPINAS,THE WALT DISNEY COMPANY (BRASIL) LTDA.,157
2023-05-09,THE SUPER MARIO BROS. MOVIE,SUPER MARIO BROS. - O FILME, Estados Unidos,RJ,RIO DE JANEIRO,WARNER BROS. (SOUTH) INC.,13
2023-04-26,THE THREE MUSKETEERS: D’ARTAGNAN,OS TRÊS MOSQUETEIROS: D’ARTAGNAN, França,ES,SERRA,SM DISTRIBUIDORA DE FILMES LTDA,6
2023-02-26,ANT-MAN AND THE WASP: QUANTUMANIA,HOMEM-FORMIGA E A VESPA: QUANTUMANIA, Estados Unidos,SC,PORTO UNIÃO,THE WALT DISNEY COMPANY (BRASIL) LTDA.,31
2023-04-09,SCREAM VI,PÂNICO VI, Estados Unidos,RJ,RIO DE JANEIRO,PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA,10
2023-06-05,THE LITTLE MERMAID,A PEQUENA SEREIA, Estados Unidos,SP,RIBEIRÃO PRETO,THE WALT DISNEY COMPANY (BRASIL) LTDA.,33
2023-05-26,GUARDIANS OF THE GALAXY VOL. 3,GUARDIÕES DA GALÁXIA VOL. 3, Estados Unidos,CE,SOBRAL,THE WALT DISNEY COMPANY (BRASIL) LTDA.,24
2023-04-20,THE SUPER MARIO BROS. MOVIE,SUPER MARIO BROS. - O FILME, Estados Unidos,SP,SÃO PAULO,WARNER BROS. (SOUTH) INC.,203
2023-01-06,PUSS IN BOOTS: THE LAST WISH,GATO DE BOTAS 2: O ÚLTIMO PEDIDO, Estados Unidos,SP,RIBEIRÃO PRETO,WARNER BROS. (SOUTH) INC.,65
2023-02-14,A MAN CALLED OTTO,O PIOR VIZINHO DO MUNDO, Estados Unidos,PR,LONDRINA,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,18
